customer_name,customer_id,phone_number,merchant,merchant_category,amount,known_devices,current_device,known_locations,current_location,previous_transaction_time,current_transaction_time,velocity_minutes,isFraud
James Whitmore,C771002884,+44 7700 900112,National Express,Transport,16.25,Samsung Galaxy S22,Samsung Galaxy S22,Manchester | Leeds,Manchester,2026-07-17T07:13:11Z,2026-07-18T03:19:11Z,1206,False
Emily Clarke,C481900231,+44 7700 900341,EasyJet,Travel,85.4,iPhone 14 | MacBook Air,MacBook Air,London | Manchester,London,2026-07-18T15:50:11Z,2026-07-19T17:46:11Z,1556,False
Oliver Grant,C665401938,+44 7700 900558,Nandos,Dining,131.15,Google Pixel 7 | iPad Air,iPad Air,Birmingham | London,Manila,2026-07-18T06:11:11Z,2026-07-18T17:10:11Z,659,True
Grace Turner,C158823406,+44 7700 900651,Amazon.co.uk,Online,95.17,iPhone 13,iPhone 13,Glasgow | Edinburgh,Edinburgh,2026-07-17T22:03:11Z,2026-07-18T17:51:11Z,1188,False
Grace Turner,C158823406,+44 7700 900651,Esso,Fuel,125.84,iPhone 13,iPhone 13,Glasgow | Edinburgh,Edinburgh,2026-07-18T04:43:11Z,2026-07-19T01:55:11Z,1272,False
Amelia Hughes,C902144870,+44 7700 900517,Tesco,Grocery,88.3,iPhone 14 Pro,Huawei P60,Cardiff | Bristol,Cardiff,2026-07-18T23:58:11Z,2026-07-19T09:24:11Z,566,True
Charlotte Reid,C904377612,+44 7700 900920,National Express,Transport,92.54,iPhone 15 Pro | MacBook Pro,MacBook Pro,Bristol | London,London,2026-07-17T06:45:11Z,2026-07-18T06:22:11Z,1417,False
Liam Foster,C210567433,+44 7700 900274,Lastminute.com,Travel,23.86,OnePlus 11,OnePlus 11,Leeds,Leeds,2026-07-17T09:43:11Z,2026-07-18T10:42:11Z,1499,False
Charlotte Reid,C904377612,+44 7700 900920,LastMinute.com,Travel,118.72,iPhone 15 Pro | MacBook Pro,iPhone 15 Pro,Bristol | London,Bristol,2026-07-17T14:41:11Z,2026-07-18T16:41:11Z,1560,False
Amelia Hughes,C902144870,+44 7700 900517,Byron,Dining,120.92,iPhone 14 Pro,iPhone 14 Pro,Cardiff | Bristol,Manila,2026-07-18T19:39:11Z,2026-07-19T06:11:11Z,632,True
